server,operation,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_std_ms,throughput_ops_sec,success_rate,total_ops,successful_ops
git-mem-sync,set,1.8099507503211498,1.6500629717484117,1.0729609057307243,3.5603491123765707,0.5846961002198883,552.5012212749791,100.0,50,50
git-mem-sync,get,0.24478356819599867,0.16799953300505877,0.09654415771365166,0.7516150362789631,0.14109059564018464,4085.241535491051,100.0,50,50
git-mem-sync,delete,0.977356806397438,0.9014909155666828,0.7552921306341887,1.5602048952132463,0.2242326491791405,1023.1677862724723,100.0,25,25
git-mem-sync,list,0.18297694623470306,0.18297694623470306,0.18297694623470306,0.18297694623470306,0,5465.169359189698,100.0,1,1
git-mem-async,set,0.7326566381379962,0.5214725388213992,0.3506469074636698,4.054015036672354,0.5764014478825248,1364.8958433536359,100.0,50,50
git-mem-async,get,0.23378544487059116,0.19716599490493536,0.06009405478835106,0.9939130395650864,0.16592786227644649,4277.426255315153,100.0,50,50
git-mem-async,delete,0.3272273950278759,0.30846986919641495,0.1724890898913145,0.7165828719735146,0.12561350220574963,3055.9788550552494,100.0,25,25
git-mem-async,list,0.1943239476531744,0.1943239476531744,0.1943239476531744,0.1943239476531744,0,5146.046136242459,100.0,1,1
engram,set,0.5048451106995344,0.2825915580615401,0.12622191570699215,1.4617850538343191,0.3799504083370659,1980.8055556175602,100.0,50,50
engram,get,0.11693193577229977,0.11450296733528376,0.0756741501390934,0.21953205578029156,0.03138531359805046,8551.983625305653,100.0,50,50
engram,delete,0.19065836444497108,0.12129195965826511,0.08428096771240234,1.641285140067339,0.30555449510952226,5244.983627710841,100.0,25,25
engram,list,0.08700508624315262,0.08700508624315262,0.08700508624315262,0.08700508624315262,0,11493.58092934137,100.0,1,1
